_id;qtd;used;code;benefitId;createdAt;__v
5cadeb4301406c3bc62e2c47;100;;GOODERS10;5be2d221e5dba162eff3768e;10/04/2019 13:10:27;0;
5cb5d00701406c3bc62e2c75;1000;;GOODERS5;5be2d43ae5dba162eff37692;16/04/2019 12:52:23;0;18/01/2021 14:31:23;
5cb5d2fd72426a3bec2768c5;1000;;AWIN20;5c597a74b1d7b82835d4a66d;16/04/2019 13:05:01;0;11/05/2020 16:57:26;
5cb5d3fa01406c3bc62e2c78;1000;;SUGGARGOODERS;5be2d38fe5dba162eff37690;16/04/2019 13:09:14;0;13/03/2020 20:13:34;
5cb5db3472426a3bec2768ca;1000;;BOCGOODERS;5be2c994e5dba162eff37688;16/04/2019 13:40:04;0;
5cb60f77aaae2d3bb71eea52;1;;438558-46A995B1CEF;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea53;1;;438559-4EF5FDC2AFB;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea54;1;;438560-475B855694F;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea55;1;;438561-4128D964D19;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea56;1;;438562-46D5AD682B8;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea57;1;;438563-48381D5BBBB;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea58;1;;438564-44DD03F84D8;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea59;1;;438565-440A533A347;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea5a;1;;438566-4A5AE4A12B9;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea5b;1;;438567-46866D6EF50;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea5c;1;;438568-491B25686B9;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea5d;1;;438569-4985FED396D;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea5e;1;;438570-4B9B64ACD05;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea5f;1;;438571-4A267E58CC9;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea60;1;;438572-40B798A5DCB;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea61;1;;438573-478B695BB17;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea62;1;;438574-4E4C32F63CC;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea63;1;;438575-45F69FBC1F3;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea64;1;;438576-44C120187A7;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea65;1;;438577-465B963295E;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea66;1;;438578-485EBE1A918;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea67;1;;438579-40C375B7126;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea68;1;;438580-45B75A58F15;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea69;1;;438581-4AAA2658CCB;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea6a;1;;438582-450FCFC20D8;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea6b;1;;438583-48076FC6072;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea6c;1;;438584-46D4B022C77;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea6d;1;;438585-47DAC02580B;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea6e;1;;438586-482CCFAF96A;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea6f;1;;438587-4CD7AB8F840;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea70;1;;438588-436D6B14461;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea71;1;;438589-450811E9E33;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea73;1;;438591-4B8418D7186;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea72;1;;438590-47E0E87A9EA;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea74;1;;438592-43A31DD7F68;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea75;1;;438593-46897FD2B14;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea76;1;;438594-4225F59266E;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea78;1;;438596-4BD230D9EA8;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea77;1;;438595-427D12F83CD;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea79;1;;438597-45EFA0F3C4D;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea7a;1;;438598-485D1D579D2;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea7b;1;;438599-4C09FD8E937;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea7d;1;;438601-40BF3198352;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea7c;1;;438600-455BDAF94FC;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea7e;1;;438602-4D6F2C20948;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea7f;1;;438603-462FB40CF37;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea80;1;;438604-460735EBF27;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea82;1;;438606-4D4A7FC6E97;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea81;1;;438605-449A8C56BBB;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea83;1;;438607-4EF1E57CCB1;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea84;1;;438608-4E92708112F;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea85;1;;438609-468BD6E9865;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea86;1;;438610-43DDF135FFE;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea87;1;;438611-473DB94EAFD;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea88;1;;438612-42299D0D584;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea89;1;;438613-432CF16E54D;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea8a;1;;438614-4A409D35046;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea8b;1;;438615-472B0A61916;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea8c;1;;438616-4405D24112D;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea8d;1;;438617-4581ECDE6BB;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea8e;1;;438618-41AFE672E30;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea8f;1;;438619-43F2133F21F;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea90;1;;438620-4718481710F;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea91;1;;438621-4B95BA2731C;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea92;1;;438622-414EFA82BE2;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea93;1;;438623-406A83F6651;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea94;1;;438624-49C4A915BD1;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea96;1;;438626-4841229C356;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea95;1;;438625-4577786044A;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea97;1;;438627-4EAA92C84C2;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea98;1;;438628-4EB830662F4;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea99;1;;438629-44AF0493257;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea9a;1;;438630-4575C053B45;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea9b;1;;438631-48DBDBA3486;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea9c;1;;438632-4F4E61312DE;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea9d;1;;438633-484259CC4B2;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea9e;1;;438634-4D7E42DB3AF;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eea9f;1;;438635-4A8F5E9BFCA;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaa0;1;;438636-4879A52344A;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaa1;1;;438637-4AA2F290354;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaa2;1;;438638-423569A3FD3;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaa3;1;;438639-4A53F9FD22C;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaa4;1;;438640-463CA88AAA5;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaa5;1;;438641-452584AAAD4;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaa6;1;;438642-4C347B64179;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaa7;1;;438643-4B6DC50D49E;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaa8;1;;438644-4EEC84FCC13;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaa9;1;;438645-4DB0E3AF5BD;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaaa;1;;438646-42E1108708D;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
